Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
12.06           0.55            0.7891          0.1918          0.0191          0.0000          soil1          
13.89           0.53            0.7811          0.1966          0.0223          0.0000          soil1          
12.21           0.60            0.7142          0.2600          0.0257          0.0000          soil1          
13.03           0.63            0.6512          0.3160          0.0328          0.0000          soil1          
13.70           0.68            0.4892          0.4595          0.0513          0.0000          soil1          
16.47           0.71            0.3442          0.5772          0.0785          0.0001          soil2          
15.69           0.74            0.2504          0.6595          0.0901          0.0001          soil2          
15.73           0.74            0.2655          0.6467          0.0877          0.0001          soil2          
15.91           0.76            0.2061          0.6950          0.0988          0.0001          soil2          
17.16           0.78            0.1310          0.7477          0.1211          0.0002          soil2          
